,route_name,grade,route_id,beta_id,states,holds
0,ACG12,6B+,20860,0.0,"[{'lh': 'A5', 'rh': 'F5', 'lf': 'B0', 'rf': 'F-1'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'B0', 'rf': 'F-1'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'B0', 'rf': 'D0'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'A5', 'rf': 'D0'}, {'lh': 'D9', 'rh': 'H11', 'lf': 'A5', 'rf': None}, {'lh': 'D9', 'rh': 'H11', 'lf': None, 'rf': 'F5'}, {'lh': 'D9', 'rh': 'H11', 'lf': 'F5', 'rf': None}, {'lh': 'F14', 'rh': 'H11', 'lf': 'F5', 'rf': None}, {'lh': 'F14', 'rh': 'H11', 'lf': None, 'rf': 'F5'}, {'lh': 'F14', 'rh': 'H11', 'lf': 'D9', 'rf': 'F5'}, {'lh': 'F14', 'rh': 'I16', 'lf': 'D9', 'rf': None}, {'lh': 'E18', 'rh': 'I16', 'lf': 'D9', 'rf': None}, {'lh': 'E18', 'rh': 'I16', 'lf': 'D9', 'rf': 'H11'}, {'lh': 'E18', 'rh': 'E18', 'lf': 'D9', 'rf': 'H11'}]","['A5', 'D9', 'E18', 'F14', 'F5', 'H11', 'I16']"
1,ACG12,6B+,20860,1.0,"[{'lh': 'A5', 'rh': 'F5', 'lf': 'B-1', 'rf': 'F-1'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'B-1', 'rf': 'F-1'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'B-1', 'rf': 'D0'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'A5', 'rf': 'D0'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'A5', 'rf': 'F0'}, {'lh': 'D9', 'rh': 'H11', 'lf': 'A5', 'rf': None}, {'lh': 'D9', 'rh': 'H11', 'lf': 'A5', 'rf': 'F5'}, {'lh': 'D9', 'rh': 'H11', 'lf': 'F5', 'rf': None}, {'lh': 'F14', 'rh': 'H11', 'lf': 'F5', 'rf': None}, {'lh': 'F14', 'rh': 'H11', 'lf': None, 'rf': 'F5'}, {'lh': 'F14', 'rh': 'H11', 'lf': 'D9', 'rf': 'F5'}, {'lh': 'F14', 'rh': 'H11', 'lf': None, 'rf': 'D9'}, {'lh': 'F14', 'rh': 'I16', 'lf': None, 'rf': 'D9'}, {'lh': 'F14', 'rh': 'I16', 'lf': 'D9', 'rf': None}, {'lh': 'E18', 'rh': 'I16', 'lf': 'D9', 'rf': None}, {'lh': 'E18', 'rh': 'E18', 'lf': 'D9', 'rf': None}]","['A5', 'D9', 'E18', 'F14', 'F5', 'H11', 'I16']"
2,ACG12,6B+,20860,2.0,"[{'lh': 'A5', 'rh': 'F5', 'lf': 'B-1', 'rf': 'F-1'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'B-1', 'rf': 'F-1'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'B-1', 'rf': 'D0'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'A5', 'rf': 'D0'}, {'lh': 'D9', 'rh': 'H11', 'lf': 'A5', 'rf': None}, {'lh': 'D9', 'rh': 'H11', 'lf': 'A5', 'rf': 'F5'}, {'lh': 'D9', 'rh': 'H11', 'lf': 'F5', 'rf': None}, {'lh': 'H11', 'rh': 'H11', 'lf': 'F5', 'rf': None}, {'lh': 'F14', 'rh': 'H11', 'lf': 'F5', 'rf': None}, {'lh': 'F14', 'rh': 'H11', 'lf': None, 'rf': 'F5'}, {'lh': 'F14', 'rh': 'H11', 'lf': 'D9', 'rf': 'F5'}, {'lh': 'F14', 'rh': 'H11', 'lf': None, 'rf': 'D9'}, {'lh': 'F14', 'rh': 'I16', 'lf': 'H11', 'rf': 'D9'}, {'lh': 'F14', 'rh': 'I16', 'lf': 'H11', 'rf': None}, {'lh': 'E18', 'rh': 'I16', 'lf': 'H11', 'rf': None}, {'lh': 'E18', 'rh': 'I16', 'lf': None, 'rf': 'H11'}, {'lh': 'E18', 'rh': 'E18', 'lf': None, 'rf': 'H11'}]","['A5', 'D9', 'E18', 'F14', 'F5', 'H11', 'I16']"
3,ACG12,6B+,20860,3.0,"[{'lh': 'A5', 'rh': 'F5', 'lf': 'B-1', 'rf': 'F-1'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'B-1', 'rf': 'F-1'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'B-1', 'rf': 'D0'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'A5', 'rf': 'D0'}, {'lh': 'D9', 'rh': 'H11', 'lf': None, 'rf': None}, {'lh': 'D9', 'rh': 'H11', 'lf': 'F5', 'rf': None}, {'lh': 'H11', 'rh': 'H11', 'lf': 'F5', 'rf': None}, {'lh': 'F14', 'rh': 'H11', 'lf': 'F5', 'rf': None}, {'lh': 'F14', 'rh': 'H11', 'lf': None, 'rf': 'F5'}, {'lh': 'F14', 'rh': 'H11', 'lf': 'D9', 'rf': 'F5'}, {'lh': 'F14', 'rh': 'I16', 'lf': 'D9', 'rf': None}, {'lh': 'F14', 'rh': 'I16', 'lf': 'D9', 'rf': 'H11'}, {'lh': 'F14', 'rh': 'I16', 'lf': 'H11', 'rf': None}, {'lh': 'E18', 'rh': 'I16', 'lf': 'H11', 'rf': None}, {'lh': 'E18', 'rh': 'I16', 'lf': None, 'rf': 'H11'}, {'lh': 'E18', 'rh': 'E18', 'lf': None, 'rf': 'H11'}]","['A5', 'D9', 'E18', 'F14', 'F5', 'H11', 'I16']"
4,ACG12,6B+,20860,4.0,"[{'lh': 'A5', 'rh': 'F5', 'lf': 'B-1', 'rf': 'F-1'}, {'lh': 'A5', 'rh': 'F5', 'lf': 'D-1', 'rf': 'F-1'}, {'lh': 'A5', 'rh': 'F5', 'lf': 'D-1', 'rf': 'H-1'}, {'lh': 'F5', 'rh': 'F5', 'lf': 'D-1', 'rf': 'H-1'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'D-1', 'rf': None}, {'lh': 'D9', 'rh': 'F5', 'lf': 'D-1', 'rf': 'F0'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'D0', 'rf': 'F0'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'D0', 'rf': 'F5'}, {'lh': 'D9', 'rh': 'H11', 'lf': None, 'rf': 'F5'}, {'lh': 'D9', 'rh': 'H11', 'lf': 'F5', 'rf': None}, {'lh': 'F14', 'rh': 'H11', 'lf': 'F5', 'rf': None}, {'lh': 'F14', 'rh': 'H11', 'lf': None, 'rf': 'F5'}, {'lh': 'F14', 'rh': 'H11', 'lf': 'D9', 'rf': 'F5'}, {'lh': 'F14', 'rh': 'I16', 'lf': 'D9', 'rf': None}, {'lh': 'F14', 'rh': 'I16', 'lf': 'D9', 'rf': 'H11'}, {'lh': 'F14', 'rh': 'E18', 'lf': None, 'rf': None}, {'lh': 'F14', 'rh': 'E18', 'lf': None, 'rf': 'H11'}, {'lh': 'E18', 'rh': 'E18', 'lf': None, 'rf': 'H11'}]","['A5', 'D9', 'E18', 'F14', 'F5', 'H11', 'I16']"
5,ACG12,6B+,20860,5.0,"[{'lh': 'A5', 'rh': 'F5', 'lf': 'D0', 'rf': 'H-1'}, {'lh': 'F5', 'rh': 'F5', 'lf': 'D0', 'rf': 'H-1'}, {'lh': 'F5', 'rh': 'F5', 'lf': 'D0', 'rf': 'F0'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'D0', 'rf': 'F0'}, {'lh': 'D9', 'rh': 'F5', 'lf': 'D0', 'rf': 'F5'}, {'lh': 'D9', 'rh': 'H11', 'lf': None, 'rf': 'F5'}, {'lh': 'D9', 'rh': 'H11', 'lf': 'F5', 'rf': None}, {'lh': 'F14', 'rh': 'H11', 'lf': None, 'rf': None}, {'lh': 'F14', 'rh': 'H11', 'lf': 'D9', 'rf': None}, {'lh': 'F14', 'rh': 'I16', 'lf': 'D9', 'rf': None}, {'lh': 'F14', 'rh': 'I16', 'lf': 'D9', 'rf': 'H11'}, {'lh': 'E18', 'rh': 'I16', 'lf': None, 'rf': 'H11'}, {'lh': 'E18', 'rh': 'E18', 'lf': None, 'rf': 'H11'}]","['A5', 'D9', 'E18', 'F14', 'F5', 'H11', 'I16']"
6,AL A GAIT OR?,6B+,19310,6.0,"[{'lh': 'f5', 'rh': 'g2', 'lf': 'b-1', 'rf': 'f-1'}, {'lh': 'f5', 'rh': 'g8', 'lf': 'b-1', 'rf': 'f-1'}, {'lh': 'f5', 'rh': 'g8', 'lf': 'd0', 'rf': 'f-1'}, {'lh': 'c10', 'rh': 'g8', 'lf': 'd0', 'rf': None}, {'lh': 'c10', 'rh': 'g8', 'lf': None, 'rf': 'f5'}, {'lh': 'c10', 'rh': 'd12', 'lf': None, 'rf': 'f5'}, {'lh': 'c10', 'rh': 'd12', 'lf': 'f5', 'rf': None}, {'lh': 'c14', 'rh': 'd12', 'lf': 'f5', 'rf': None}, {'lh': 'c14', 'rh': 'd12', 'lf': 'f5', 'rf': 'g8'}, {'lh': 'c14', 'rh': 'd17', 'lf': None, 'rf': 'g8'}, {'lh': 'c14', 'rh': 'd17', 'lf': 'c10', 'rf': 'g8'}, {'lh': 'b18', 'rh': 'd17', 'lf': 'c10', 'rf': None}, {'lh': 'b18', 'rh': 'd17', 'lf': 'c10', 'rf': 'd12'}, {'lh': 'b18', 'rh': 'b18', 'lf': 'c10', 'rf': 'd12'}]","['G2', 'F5', 'G8', 'C10', 'D12', 'C14', 'D17', 'B18']"
7,AL A GAIT OR?,6B+,19310,7.0,"[{'lh': 'f5', 'rh': 'g2', 'lf': 'd-1', 'rf': 'f-1'}, {'lh': 'f5', 'rh': 'g8', 'lf': 'd-1', 'rf': 'f-1'}, {'lh': 'f5', 'rh': 'g8', 'lf': 'd0', 'rf': 'f-1'}, {'lh': 'c10', 'rh': 'g8', 'lf': 'd0', 'rf': None}, {'lh': 'c10', 'rh': 'g8', 'lf': 'd0', 'rf': 'g2'}, {'lh': 'c10', 'rh': 'd12', 'lf': 'f5', 'rf': 'g2'}, {'lh': 'c14', 'rh': 'd12', 'lf': 'f5', 'rf': None}, {'lh': 'c14', 'rh': 'd12', 'lf': 'f5', 'rf': 'g8'}, {'lh': 'c14', 'rh': 'd17', 'lf': None, 'rf': 'g8'}, {'lh': 'c14', 'rh': 'b18', 'lf': None, 'rf': None}, {'lh': 'c14', 'rh': 'b18', 'lf': None, 'rf': None}, {'lh': 'b18', 'rh': 'b18', 'lf': None, 'rf': None}, {'lh': None, 'rh': None, 'lf': None, 'rf': None}, {'lh': None, 'rh': None, 'lf': None, 'rf': None}, {'lh': None, 'rh': None, 'lf': None, 'rf': None}, {'lh': None, 'rh': None, 'lf': None, 'rf': None}, {'lh': None, 'rh': None, 'lf': None, 'rf': None}, {'lh': None, 'rh': None, 'lf': None, 'rf': None}, {'lh': None, 'rh': None, 'lf': None, 'rf': None}, {'lh': None, 'rh': None, 'lf': None, 'rf': None}, {'lh': None, 'rh': None, 'lf': None, 'rf': None}]","['G2', 'F5', 'G8', 'C10', 'D12', 'C14', 'D17', 'B18']"
8,AL A GAIT OR?,6B+,19310,8.0,"[{'lh': 'f5', 'rh': 'g2', 'lf': 'd0', 'rf': 'f-1'}, {'lh': 'f5', 'rh': 'g8', 'lf': 'd0', 'rf': 'f-1'}, {'lh': 'f5', 'rh': 'g8', 'lf': 'g2', 'rf': 'f-1'}, {'lh': 'c10', 'rh': 'g8', 'lf': 'g2', 'rf': None}, {'lh': 'c10', 'rh': 'g8', 'lf': 'g2', 'rf': 'f5'}, {'lh': 'c10', 'rh': 'd12', 'lf': 'g2', 'rf': 'f5'}, {'lh': 'c10', 'rh': 'd12', 'lf': 'f5', 'rf': None}, {'lh': 'c14', 'rh': 'd12', 'lf': 'f5', 'rf': None}, {'lh': 'c14', 'rh': 'd12', 'lf': 'f5', 'rf': 'g8'}, {'lh': 'c14', 'rh': 'd17', 'lf': None, 'rf': 'g8'}, {'lh': 'c14', 'rh': 'd17', 'lf': 'c10', 'rf': 'g8'}, {'lh': 'b18', 'rh': 'd17', 'lf': 'c10', 'rf': None}, {'lh': 'b18', 'rh': 'd17', 'lf': 'c10', 'rf': 'd12'}, {'lh': 'b18', 'rh': 'b18', 'lf': None, 'rf': 'd12'}]","['G2', 'F5', 'G8', 'C10', 'D12', 'C14', 'D17', 'B18']"
9,AL A GAIT OR?,6B+,19310,9.0,"[{'lh': 'f5', 'rh': 'g2', 'lf': 'd-1', 'rf': 'f-1'}, {'lh': 'f5', 'rh': 'g8', 'lf': 'd-1', 'rf': 'f-1'}, {'lh': 'f5', 'rh': 'g8', 'lf': 'g2', 'rf': 'f-1'}, {'lh': 'c10', 'rh': 'g8', 'lf': 'g2', 'rf': None}, {'lh': 'c10', 'rh': 'g8', 'lf': 'g2', 'rf': 'f5'}, {'lh': 'c10', 'rh': 'd12', 'lf': None, 'rf': 'f5'}, {'lh': 'c10', 'rh': 'd12', 'lf': 'f5', 'rf': None}, {'lh': 'c10', 'rh': 'd12', 'lf': 'f5', 'rf': 'g8'}, {'lh': 'c14', 'rh': 'd17', 'lf': None, 'rf': 'g8'}, {'lh': 'c14', 'rh': 'd17', 'lf': 'c10', 'rf': 'g8'}, {'lh': 'b18', 'rh': 'd17', 'lf': 'c10', 'rf': None}, {'lh': 'b18', 'rh': 'd17', 'lf': 'c10', 'rf': 'd12'}, {'lh': 'b18', 'rh': 'b18', 'lf': 'c10', 'rf': 'd12'}]","['G2', 'F5', 'G8', 'C10', 'D12', 'C14', 'D17', 'B18']"
