,Name,Grade,Moves,Holdsets,Id,holds,number_of_holds,lengths_of_moves
0,BLACK BEAUTY,8B,"[{'Id': 1542554, 'Description': 'J5', 'IsStart': True, 'IsEnd': False}, {'Id': 1542555, 'Description': 'I9', 'IsStart': False, 'IsEnd': False}, {'Id': 1542556, 'Description': 'E14', 'IsStart': False, 'IsEnd': False}, {'Id': 1542557, 'Description': 'H18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",82224,"['J5', 'I9', 'E14', 'H18']",4,"{'J5toJ5': 0.0, 'J5toI9': 4.123105625617661, 'J5toE14': 10.295630140987, 'J5toH18': 13.152946437965905, 'I9toJ5': 4.123105625617661, 'I9toI9': 0.0, 'I9toE14': 6.4031242374328485, 'I9toH18': 9.055385138137417, 'E14toJ5': 10.295630140987, 'E14toI9': 6.4031242374328485, 'E14toE14': 0.0, 'E14toH18': 5.0, 'H18toJ5': 13.152946437965905, 'H18toI9': 9.055385138137417, 'H18toE14': 5.0, 'H18toH18': 0.0}"
1,PROJECT 2,8A+,"[{'Id': 1535606, 'Description': 'K6', 'IsStart': True, 'IsEnd': False}, {'Id': 1535607, 'Description': 'K7', 'IsStart': False, 'IsEnd': False}, {'Id': 1535608, 'Description': 'D10', 'IsStart': False, 'IsEnd': False}, {'Id': 1535609, 'Description': 'H14', 'IsStart': False, 'IsEnd': False}, {'Id': 1535610, 'Description': 'A16', 'IsStart': False, 'IsEnd': False}, {'Id': 1535611, 'Description': 'A18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",62575,"['K6', 'K7', 'D10', 'H14', 'A16', 'A18']",6,"{'K6toK6': 0.0, 'K6toK7': 1.0, 'K6toD10': 8.06225774829855, 'K6toH14': 8.54400374531753, 'K6toA16': 14.142135623730951, 'K6toA18': 15.620499351813308, 'K7toK6': 1.0, 'K7toK7': 0.0, 'K7toD10': 7.615773105863909, 'K7toH14': 7.615773105863909, 'K7toA16': 13.45362404707371, 'K7toA18': 14.866068747318506, 'D10toK6': 8.06225774829855, 'D10toK7': 7.615773105863909, 'D10toD10': 0.0, 'D10toH14': 5.656854249492381, 'D10toA16': 6.708203932499369, 'D10toA18': 8.54400374531753, 'H14toK6': 8.54400374531753, 'H14toK7': 7.615773105863909, 'H14toD10': 5.656854249492381, 'H14toH14': 0.0, 'H14toA16': 7.280109889280518, 'H14toA18': 8.06225774829855, 'A16toK6': 14.142135623730951, 'A16toK7': 13.45362404707371, 'A16toD10': 6.708203932499369, 'A16toH14': 7.280109889280518, 'A16toA16': 0.0, 'A16toA18': 2.0, 'A18toK6': 15.620499351813308, 'A18toK7': 14.866068747318506, 'A18toD10': 8.54400374531753, 'A18toH14': 8.06225774829855, 'A18toA16': 2.0, 'A18toA18': 0.0}"
2,SHATTERED MERCY,8A+,"[{'Id': 1596473, 'Description': 'D3', 'IsStart': True, 'IsEnd': False}, {'Id': 1596474, 'Description': 'B4', 'IsStart': True, 'IsEnd': False}, {'Id': 1596475, 'Description': 'G7', 'IsStart': False, 'IsEnd': False}, {'Id': 1596476, 'Description': 'I8', 'IsStart': False, 'IsEnd': False}, {'Id': 1596477, 'Description': 'K12', 'IsStart': False, 'IsEnd': False}, {'Id': 1596478, 'Description': 'H14', 'IsStart': False, 'IsEnd': False}, {'Id': 1596479, 'Description': 'H15', 'IsStart': False, 'IsEnd': False}, {'Id': 1596480, 'Description': 'C18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",241045,"['D3', 'B4', 'G7', 'I8', 'K12', 'H14', 'H15', 'C18']",8,"{'D3toD3': 0.0, 'D3toB4': 2.23606797749979, 'D3toG7': 5.0, 'D3toI8': 7.0710678118654755, 'D3toK12': 11.40175425099138, 'D3toH14': 11.704699910719626, 'D3toH15': 12.649110640673518, 'D3toC18': 15.033296378372908, 'B4toD3': 2.23606797749979, 'B4toB4': 0.0, 'B4toG7': 5.830951894845301, 'B4toI8': 8.06225774829855, 'B4toK12': 12.041594578792296, 'B4toH14': 11.661903789690601, 'B4toH15': 12.529964086141668, 'B4toC18': 14.035668847618199, 'G7toD3': 5.0, 'G7toB4': 5.830951894845301, 'G7toG7': 0.0, 'G7toI8': 2.23606797749979, 'G7toK12': 6.4031242374328485, 'G7toH14': 7.0710678118654755, 'G7toH15': 8.06225774829855, 'G7toC18': 11.704699910719626, 'I8toD3': 7.0710678118654755, 'I8toB4': 8.06225774829855, 'I8toG7': 2.23606797749979, 'I8toI8': 0.0, 'I8toK12': 4.47213595499958, 'I8toH14': 6.082762530298219, 'I8toH15': 7.0710678118654755, 'I8toC18': 11.661903789690601, 'K12toD3': 11.40175425099138, 'K12toB4': 12.041594578792296, 'K12toG7': 6.4031242374328485, 'K12toI8': 4.47213595499958, 'K12toK12': 0.0, 'K12toH14': 3.605551275463989, 'K12toH15': 4.242640687119285, 'K12toC18': 10.0, 'H14toD3': 11.704699910719626, 'H14toB4': 11.661903789690601, 'H14toG7': 7.0710678118654755, 'H14toI8': 6.082762530298219, 'H14toK12': 3.605551275463989, 'H14toH14': 0.0, 'H14toH15': 1.0, 'H14toC18': 6.4031242374328485, 'H15toD3': 12.649110640673518, 'H15toB4': 12.529964086141668, 'H15toG7': 8.06225774829855, 'H15toI8': 7.0710678118654755, 'H15toK12': 4.242640687119285, 'H15toH14': 1.0, 'H15toH15': 0.0, 'H15toC18': 5.830951894845301, 'C18toD3': 15.033296378372908, 'C18toB4': 14.035668847618199, 'C18toG7': 11.704699910719626, 'C18toI8': 11.661903789690601, 'C18toK12': 10.0, 'C18toH14': 6.4031242374328485, 'C18toH15': 5.830951894845301, 'C18toC18': 0.0}"
3,ATTIC ADDICT,8A,"[{'Id': 1986894, 'Description': 'E6', 'IsStart': True, 'IsEnd': False}, {'Id': 1986895, 'Description': 'G2', 'IsStart': True, 'IsEnd': False}, {'Id': 1986896, 'Description': 'J6', 'IsStart': False, 'IsEnd': False}, {'Id': 1986897, 'Description': 'F8', 'IsStart': False, 'IsEnd': False}, {'Id': 1986898, 'Description': 'J12', 'IsStart': False, 'IsEnd': False}, {'Id': 1986899, 'Description': 'F15', 'IsStart': False, 'IsEnd': False}, {'Id': 1986900, 'Description': 'F16', 'IsStart': False, 'IsEnd': False}, {'Id': 1986901, 'Description': 'A18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",350783,"['E6', 'G2', 'J6', 'F8', 'J12', 'F15', 'F16', 'A18']",8,"{'E6toE6': 0.0, 'E6toG2': 4.47213595499958, 'E6toJ6': 5.0, 'E6toF8': 2.23606797749979, 'E6toJ12': 7.810249675906654, 'E6toF15': 9.055385138137417, 'E6toF16': 10.04987562112089, 'E6toA18': 12.649110640673518, 'G2toE6': 4.47213595499958, 'G2toG2': 0.0, 'G2toJ6': 5.0, 'G2toF8': 6.082762530298219, 'G2toJ12': 10.44030650891055, 'G2toF15': 13.038404810405298, 'G2toF16': 14.035668847618199, 'G2toA18': 17.08800749063506, 'J6toE6': 5.0, 'J6toG2': 5.0, 'J6toJ6': 0.0, 'J6toF8': 4.47213595499958, 'J6toJ12': 6.0, 'J6toF15': 9.848857801796104, 'J6toF16': 10.770329614269007, 'J6toA18': 15.0, 'F8toE6': 2.23606797749979, 'F8toG2': 6.082762530298219, 'F8toJ6': 4.47213595499958, 'F8toF8': 0.0, 'F8toJ12': 5.656854249492381, 'F8toF15': 7.0, 'F8toF16': 8.0, 'F8toA18': 11.180339887498949, 'J12toE6': 7.810249675906654, 'J12toG2': 10.44030650891055, 'J12toJ6': 6.0, 'J12toF8': 5.656854249492381, 'J12toJ12': 0.0, 'J12toF15': 5.0, 'J12toF16': 5.656854249492381, 'J12toA18': 10.816653826391969, 'F15toE6': 9.055385138137417, 'F15toG2': 13.038404810405298, 'F15toJ6': 9.848857801796104, 'F15toF8': 7.0, 'F15toJ12': 5.0, 'F15toF15': 0.0, 'F15toF16': 1.0, 'F15toA18': 5.830951894845301, 'F16toE6': 10.04987562112089, 'F16toG2': 14.035668847618199, 'F16toJ6': 10.770329614269007, 'F16toF8': 8.0, 'F16toJ12': 5.656854249492381, 'F16toF15': 1.0, 'F16toF16': 0.0, 'F16toA18': 5.385164807134504, 'A18toE6': 12.649110640673518, 'A18toG2': 17.08800749063506, 'A18toJ6': 15.0, 'A18toF8': 11.180339887498949, 'A18toJ12': 10.816653826391969, 'A18toF15': 5.830951894845301, 'A18toF16': 5.385164807134504, 'A18toA18': 0.0}"
4,BUNNY,8A,"[{'Id': 1521147, 'Description': 'B4', 'IsStart': True, 'IsEnd': False}, {'Id': 1521148, 'Description': 'G7', 'IsStart': False, 'IsEnd': False}, {'Id': 1521149, 'Description': 'H7', 'IsStart': False, 'IsEnd': False}, {'Id': 1521150, 'Description': 'K8', 'IsStart': False, 'IsEnd': False}, {'Id': 1521151, 'Description': 'K10', 'IsStart': False, 'IsEnd': False}, {'Id': 1521152, 'Description': 'K13', 'IsStart': False, 'IsEnd': False}, {'Id': 1521153, 'Description': 'G16', 'IsStart': False, 'IsEnd': False}, {'Id': 1521154, 'Description': 'H18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",23184,"['B4', 'G7', 'H7', 'K8', 'K10', 'K13', 'G16', 'H18']",8,"{'B4toB4': 0.0, 'B4toG7': 5.830951894845301, 'B4toH7': 6.708203932499369, 'B4toK8': 9.848857801796104, 'B4toK10': 10.816653826391969, 'B4toK13': 12.727922061357855, 'B4toG16': 13.0, 'B4toH18': 15.231546211727817, 'G7toB4': 5.830951894845301, 'G7toG7': 0.0, 'G7toH7': 1.0, 'G7toK8': 4.123105625617661, 'G7toK10': 5.0, 'G7toK13': 7.211102550927978, 'G7toG16': 9.0, 'G7toH18': 11.045361017187261, 'H7toB4': 6.708203932499369, 'H7toG7': 1.0, 'H7toH7': 0.0, 'H7toK8': 3.1622776601683795, 'H7toK10': 4.242640687119285, 'H7toK13': 6.708203932499369, 'H7toG16': 9.055385138137417, 'H7toH18': 11.0, 'K8toB4': 9.848857801796104, 'K8toG7': 4.123105625617661, 'K8toH7': 3.1622776601683795, 'K8toK8': 0.0, 'K8toK10': 2.0, 'K8toK13': 5.0, 'K8toG16': 8.94427190999916, 'K8toH18': 10.44030650891055, 'K10toB4': 10.816653826391969, 'K10toG7': 5.0, 'K10toH7': 4.242640687119285, 'K10toK8': 2.0, 'K10toK10': 0.0, 'K10toK13': 3.0, 'K10toG16': 7.211102550927978, 'K10toH18': 8.54400374531753, 'K13toB4': 12.727922061357855, 'K13toG7': 7.211102550927978, 'K13toH7': 6.708203932499369, 'K13toK8': 5.0, 'K13toK10': 3.0, 'K13toK13': 0.0, 'K13toG16': 5.0, 'K13toH18': 5.830951894845301, 'G16toB4': 13.0, 'G16toG7': 9.0, 'G16toH7': 9.055385138137417, 'G16toK8': 8.94427190999916, 'G16toK10': 7.211102550927978, 'G16toK13': 5.0, 'G16toG16': 0.0, 'G16toH18': 2.23606797749979, 'H18toB4': 15.231546211727817, 'H18toG7': 11.045361017187261, 'H18toH7': 11.0, 'H18toK8': 10.44030650891055, 'H18toK10': 8.54400374531753, 'H18toK13': 5.830951894845301, 'H18toG16': 2.23606797749979, 'H18toH18': 0.0}"
5,DANK ENERGY,8A,"[{'Id': 1656077, 'Description': 'I4', 'IsStart': True, 'IsEnd': False}, {'Id': 1656078, 'Description': 'E7', 'IsStart': False, 'IsEnd': False}, {'Id': 1656079, 'Description': 'F12', 'IsStart': False, 'IsEnd': False}, {'Id': 1656080, 'Description': 'D13', 'IsStart': False, 'IsEnd': False}, {'Id': 1656081, 'Description': 'I15', 'IsStart': False, 'IsEnd': False}, {'Id': 1656082, 'Description': 'I18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",309814,"['I4', 'E7', 'F12', 'D13', 'I15', 'I18']",6,"{'I4toI4': 0.0, 'I4toE7': 5.0, 'I4toF12': 8.54400374531753, 'I4toD13': 10.295630140987, 'I4toI15': 11.0, 'I4toI18': 14.0, 'E7toI4': 5.0, 'E7toE7': 0.0, 'E7toF12': 5.0990195135927845, 'E7toD13': 6.082762530298219, 'E7toI15': 8.94427190999916, 'E7toI18': 11.704699910719626, 'F12toI4': 8.54400374531753, 'F12toE7': 5.0990195135927845, 'F12toF12': 0.0, 'F12toD13': 2.23606797749979, 'F12toI15': 4.242640687119285, 'F12toI18': 6.708203932499369, 'D13toI4': 10.295630140987, 'D13toE7': 6.082762530298219, 'D13toF12': 2.23606797749979, 'D13toD13': 0.0, 'D13toI15': 5.385164807134504, 'D13toI18': 7.0710678118654755, 'I15toI4': 11.0, 'I15toE7': 8.94427190999916, 'I15toF12': 4.242640687119285, 'I15toD13': 5.385164807134504, 'I15toI15': 0.0, 'I15toI18': 3.0, 'I18toI4': 14.0, 'I18toE7': 11.704699910719626, 'I18toF12': 6.708203932499369, 'I18toD13': 7.0710678118654755, 'I18toI15': 3.0, 'I18toI18': 0.0}"
6,GNIBMILC,8A,"[{'Id': 2148348, 'Description': 'D3', 'IsStart': True, 'IsEnd': False}, {'Id': 2148349, 'Description': 'E6', 'IsStart': True, 'IsEnd': False}, {'Id': 2148350, 'Description': 'I8', 'IsStart': False, 'IsEnd': False}, {'Id': 2148351, 'Description': 'G14', 'IsStart': False, 'IsEnd': False}, {'Id': 2148352, 'Description': 'G16', 'IsStart': False, 'IsEnd': False}, {'Id': 2148353, 'Description': 'A16', 'IsStart': False, 'IsEnd': False}, {'Id': 2148354, 'Description': 'A12', 'IsStart': False, 'IsEnd': False}, {'Id': 2148355, 'Description': 'A18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",371579,"['D3', 'E6', 'I8', 'G14', 'G16', 'A16', 'A12', 'A18']",8,"{'D3toD3': 0.0, 'D3toE6': 3.1622776601683795, 'D3toI8': 7.0710678118654755, 'D3toG14': 11.40175425099138, 'D3toG16': 13.341664064126334, 'D3toA16': 13.341664064126334, 'D3toA12': 9.486832980505138, 'D3toA18': 15.297058540778355, 'E6toD3': 3.1622776601683795, 'E6toE6': 0.0, 'E6toI8': 4.47213595499958, 'E6toG14': 8.246211251235321, 'E6toG16': 10.198039027185569, 'E6toA16': 10.770329614269007, 'E6toA12': 7.211102550927978, 'E6toA18': 12.649110640673518, 'I8toD3': 7.0710678118654755, 'I8toE6': 4.47213595499958, 'I8toI8': 0.0, 'I8toG14': 6.324555320336759, 'I8toG16': 8.246211251235321, 'I8toA16': 11.313708498984761, 'I8toA12': 8.94427190999916, 'I8toA18': 12.806248474865697, 'G14toD3': 11.40175425099138, 'G14toE6': 8.246211251235321, 'G14toI8': 6.324555320336759, 'G14toG14': 0.0, 'G14toG16': 2.0, 'G14toA16': 6.324555320336759, 'G14toA12': 6.324555320336759, 'G14toA18': 7.211102550927978, 'G16toD3': 13.341664064126334, 'G16toE6': 10.198039027185569, 'G16toI8': 8.246211251235321, 'G16toG14': 2.0, 'G16toG16': 0.0, 'G16toA16': 6.0, 'G16toA12': 7.211102550927978, 'G16toA18': 6.324555320336759, 'A16toD3': 13.341664064126334, 'A16toE6': 10.770329614269007, 'A16toI8': 11.313708498984761, 'A16toG14': 6.324555320336759, 'A16toG16': 6.0, 'A16toA16': 0.0, 'A16toA12': 4.0, 'A16toA18': 2.0, 'A12toD3': 9.486832980505138, 'A12toE6': 7.211102550927978, 'A12toI8': 8.94427190999916, 'A12toG14': 6.324555320336759, 'A12toG16': 7.211102550927978, 'A12toA16': 4.0, 'A12toA12': 0.0, 'A12toA18': 6.0, 'A18toD3': 15.297058540778355, 'A18toE6': 12.649110640673518, 'A18toI8': 12.806248474865697, 'A18toG14': 7.211102550927978, 'A18toG16': 6.324555320336759, 'A18toA16': 2.0, 'A18toA12': 6.0, 'A18toA18': 0.0}"
7,I BURNT OFF MEGOS,8A,"[{'Id': 1844685, 'Description': 'C18', 'IsStart': False, 'IsEnd': True}, {'Id': 1844686, 'Description': 'D6', 'IsStart': True, 'IsEnd': False}, {'Id': 1844687, 'Description': 'F15', 'IsStart': False, 'IsEnd': False}, {'Id': 1844688, 'Description': 'F9', 'IsStart': False, 'IsEnd': False}, {'Id': 1844689, 'Description': 'H9', 'IsStart': False, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",62560,"['C18', 'D6', 'F15', 'F9', 'H9']",5,"{'C18toC18': 0.0, 'C18toD6': 12.041594578792296, 'C18toF15': 4.242640687119285, 'C18toF9': 9.486832980505138, 'C18toH9': 10.295630140987, 'D6toC18': 12.041594578792296, 'D6toD6': 0.0, 'D6toF15': 9.219544457292887, 'D6toF9': 3.605551275463989, 'D6toH9': 5.0, 'F15toC18': 4.242640687119285, 'F15toD6': 9.219544457292887, 'F15toF15': 0.0, 'F15toF9': 6.0, 'F15toH9': 6.324555320336759, 'F9toC18': 9.486832980505138, 'F9toD6': 3.605551275463989, 'F9toF15': 6.0, 'F9toF9': 0.0, 'F9toH9': 2.0, 'H9toC18': 10.295630140987, 'H9toD6': 5.0, 'H9toF15': 6.324555320336759, 'H9toF9': 2.0, 'H9toH9': 0.0}"
8,KAWASCHUWU,8A,"[{'Id': 1857955, 'Description': 'E16', 'IsStart': False, 'IsEnd': False}, {'Id': 1857956, 'Description': 'F10', 'IsStart': False, 'IsEnd': False}, {'Id': 1857957, 'Description': 'F6', 'IsStart': False, 'IsEnd': False}, {'Id': 1857958, 'Description': 'G2', 'IsStart': True, 'IsEnd': False}, {'Id': 1857959, 'Description': 'K5', 'IsStart': True, 'IsEnd': False}, {'Id': 1857960, 'Description': 'K12', 'IsStart': False, 'IsEnd': False}, {'Id': 1857961, 'Description': 'K18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",62275,"['E16', 'F10', 'F6', 'G2', 'K5', 'K12', 'K18']",7,"{'E16toE16': 0.0, 'E16toF10': 6.082762530298219, 'E16toF6': 10.04987562112089, 'E16toG2': 14.142135623730951, 'E16toK5': 12.529964086141668, 'E16toK12': 7.211102550927978, 'E16toK18': 6.324555320336759, 'F10toE16': 6.082762530298219, 'F10toF10': 0.0, 'F10toF6': 4.0, 'F10toG2': 8.06225774829855, 'F10toK5': 7.0710678118654755, 'F10toK12': 5.385164807134504, 'F10toK18': 9.433981132056603, 'F6toE16': 10.04987562112089, 'F6toF10': 4.0, 'F6toF6': 0.0, 'F6toG2': 4.123105625617661, 'F6toK5': 5.0990195135927845, 'F6toK12': 7.810249675906654, 'F6toK18': 13.0, 'G2toE16': 14.142135623730951, 'G2toF10': 8.06225774829855, 'G2toF6': 4.123105625617661, 'G2toG2': 0.0, 'G2toK5': 5.0, 'G2toK12': 10.770329614269007, 'G2toK18': 16.492422502470642, 'K5toE16': 12.529964086141668, 'K5toF10': 7.0710678118654755, 'K5toF6': 5.0990195135927845, 'K5toG2': 5.0, 'K5toK5': 0.0, 'K5toK12': 7.0, 'K5toK18': 13.0, 'K12toE16': 7.211102550927978, 'K12toF10': 5.385164807134504, 'K12toF6': 7.810249675906654, 'K12toG2': 10.770329614269007, 'K12toK5': 7.0, 'K12toK12': 0.0, 'K12toK18': 6.0, 'K18toE16': 6.324555320336759, 'K18toF10': 9.433981132056603, 'K18toF6': 13.0, 'K18toG2': 16.492422502470642, 'K18toK5': 13.0, 'K18toK12': 6.0, 'K18toK18': 0.0}"
9,ONE MOVE WONDER,8A,"[{'Id': 1524277, 'Description': 'D6', 'IsStart': True, 'IsEnd': False}, {'Id': 1524278, 'Description': 'F6', 'IsStart': True, 'IsEnd': False}, {'Id': 1524279, 'Description': 'G11', 'IsStart': False, 'IsEnd': False}, {'Id': 1524280, 'Description': 'H15', 'IsStart': False, 'IsEnd': False}, {'Id': 1524281, 'Description': 'H18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",30609,"['D6', 'F6', 'G11', 'H15', 'H18']",5,"{'D6toD6': 0.0, 'D6toF6': 2.0, 'D6toG11': 5.830951894845301, 'D6toH15': 9.848857801796104, 'D6toH18': 12.649110640673518, 'F6toD6': 2.0, 'F6toF6': 0.0, 'F6toG11': 5.0990195135927845, 'F6toH15': 9.219544457292887, 'F6toH18': 12.165525060596439, 'G11toD6': 5.830951894845301, 'G11toF6': 5.0990195135927845, 'G11toG11': 0.0, 'G11toH15': 4.123105625617661, 'G11toH18': 7.0710678118654755, 'H15toD6': 9.848857801796104, 'H15toF6': 9.219544457292887, 'H15toG11': 4.123105625617661, 'H15toH15': 0.0, 'H15toH18': 3.0, 'H18toD6': 12.649110640673518, 'H18toF6': 12.165525060596439, 'H18toG11': 7.0710678118654755, 'H18toH15': 3.0, 'H18toH18': 0.0}"
